microphone,camera,screen,duration,app,app_type,network,memory,energy,cpu
1,0,0,2,1,electron,3778.625,1.6710025,10.21674125,0.08288
1,1,0,2,1,electron,21315.7777777778,1.72568222222222,10.1630966666667,0.19632
1,0,1,2,1,electron,4714.33333333333,1.812695,10.2103433333333,0.1454
1,1,1,2,1,electron,14333,1.84698857142857,10.2533714285714,0.156735714285714
1,0,0,8,1,electron,6072.66666666667,1.66414666666667,40.5806488888889,0.0853433333333333
1,1,0,8,1,electron,75040.125,1.69329125,40.57242,0.19486375
1,0,1,8,1,electron,12133.75,1.7972225,40.7594325,0.14340625
1,1,1,8,1,electron,57326.875,1.81689625,41.4218325,0.16119
1,0,0,2,2,electron,15284.4444444444,1.90862222222222,10.1589411111111,0.103486666666667
1,1,0,2,2,electron,21744.875,2.0788475,10.21707,0.16737875
1,0,1,2,2,electron,42682.875,2.15612125,10.21275625,0.21274875
1,1,1,2,2,electron,41942.75,2.275755,10.10359875,0.21016375
1,0,0,8,2,electron,62597.1428571429,1.89907714285714,41.0146457142857,0.10589
1,1,0,8,2,electron,92193.1428571429,2.02985285714286,40.8227528571429,0.155087142857143
1,0,1,8,2,electron,156794.333333333,2.16714222222222,41.0835466666667,0.19693
1,1,1,8,2,electron,183079.875,2.28132375,41.20583625,0.20151125
1,0,0,2,3,electron,3458.28571428571,2.01001142857143,10.1993885714286,0.101004285714286
1,1,0,2,3,electron,30622.375,2.184195,10.34606125,0.152825
1,0,1,2,3,electron,3715,2.30383125,10.26048375,0.17387625
1,1,1,2,3,electron,31476.625,2.41978875,10.24659375,0.209795
1,0,0,8,3,electron,23446.375,2.0031575,40.81562125,0.1032375
1,1,0,8,3,electron,118845,2.18850545454545,41.1220672727273,0.171885454545455
1,0,1,8,3,electron,10058,2.29774,41.1254042857143,0.173292857142857
1,1,1,8,3,electron,118279.375,2.40604125,41.2229625,0.2109975
1,0,0,2,1,web,5313,2.75976125,10.2343675,0.12561375
1,1,0,2,1,web,15808.125,2.86005625,10.25134875,0.15349
1,0,1,2,1,web,6899.625,2.8713875,10.23946,0.14321875
1,1,1,2,1,web,8422.75,2.95022125,10.2448475,0.15392125
1,0,0,8,1,web,14958.5,2.80632625,41.33855125,0.12147875
1,1,0,8,1,web,70477.5,2.8530225,41.0729050000001,0.16173
1,0,1,8,1,web,34747.625,2.85231625,41.0604575000001,0.14465
1,1,1,8,1,web,24124.25,2.952945,41.3087650000001,0.1448575
1,0,0,2,2,web,11592.2222222222,2.65701888888889,10.2512655555556,0.110141111111111
1,1,0,2,2,web,22292.625,2.763065,10.17454375,0.14031
1,0,1,2,2,web,11955.25,2.921025,10.24917375,0.13769875
1,1,1,2,2,web,26364.5,3.01681375,10.17075125,0.15719125
1,0,0,8,2,web,50467.25,2.67876375,41.288935,0.10647625
1,1,0,8,2,web,64370.125,2.78508125,40.9723912500001,0.13462125
1,0,1,8,2,web,89298.625,2.89795125,41.097175,0.1471425
1,1,1,8,2,web,79546.625,2.97780625,41.10983125,0.14214
1,0,0,2,3,web,4373,2.78198714285714,10.28796,0.109108571428571
1,1,0,2,3,web,14527.375,2.97310875,10.20679,0.14067625
1,0,1,2,3,web,11260.5,2.97321625,10.19530375,0.15366875
1,1,1,2,3,web,32634.125,3.26059625,10.16619125,0.19163875
1,0,0,8,3,web,12770,2.826375,41.36375375,0.115935
1,1,0,8,3,web,78567.5,2.9616775,41.29506625,0.134455
1,0,1,8,3,web,47343.75,3.01958375,41.0699637500001,0.15628625
1,1,1,8,3,web,95114.75,3.170715,41.0788362500001,0.1746675
